Customer ID,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Regular Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Zip Code,Population,Churn Value,Total Customer Svc Requests,Product/Service Issues Reported,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Gender_Female,Gender_Male
8779-QRDMV,1,No,No,Yes,9,No,No,Yes,No,No,Yes,No,No,Yes,41.236,39.65,0.0,0.0,0.0,78,No,Yes,No,No,0,90022,68701,1,5,0,True,False,False,True,False,False,False,True
7495-OOKFY,8,Yes,Yes,Yes,19,No,Yes,No,No,No,No,No,No,Yes,83.876,633.3,0.0,120.0,390.8,74,No,Yes,Yes,Yes,1,90063,55668,1,5,0,True,False,False,False,True,False,True,False
1658-BYGOY,18,Yes,Yes,Yes,57,No,No,No,No,Yes,Yes,Yes,Yes,Yes,99.268,1752.55,45.61,0.0,203.94,71,No,Yes,No,Yes,3,90065,47534,1,1,0,True,False,False,True,False,False,False,True
4598-XLKNJ,25,Yes,No,Yes,13,No,Yes,Yes,No,Yes,Yes,No,No,Yes,102.44,2514.5,13.43,327.0,494.00000000000006,78,No,Yes,Yes,Yes,1,90303,27778,1,1,1,True,False,False,True,False,False,True,False
4846-WHAFZ,37,Yes,Yes,Yes,15,No,No,No,No,No,No,No,No,Yes,79.56,2868.15,0.0,430.0,234.21,80,No,Yes,Yes,Yes,1,90602,26265,1,1,0,True,False,False,True,False,False,True,False
4412-YLTKF,27,Yes,Yes,Yes,20,No,No,Yes,No,No,No,No,No,Yes,81.172,2135.5,0.0,427.0,89.91,72,No,Yes,No,Yes,1,90660,63288,1,0,0,True,False,False,True,False,False,True,False
0390-DCFDQ,1,Yes,No,Yes,33,No,No,No,No,No,No,No,No,Yes,73.268,70.45,0.0,0.0,15.28,76,No,Yes,Yes,Yes,2,90720,21343,1,7,0,True,False,False,False,False,True,True,False
3445-HXXGF,58,No,No,Yes,26,No,Yes,Yes,No,No,Yes,No,No,Yes,47.112,2651.2,40.95,689.0,0.0,66,No,Yes,Yes,No,0,91024,10558,1,2,1,True,False,False,True,False,False,False,True
2656-FMOKZ,15,Yes,Yes,Yes,21,No,No,No,No,No,No,No,No,Yes,77.42800000000001,1145.7,0.0,241.0,661.05,70,No,Yes,No,Yes,2,91106,23742,1,3,0,True,False,False,False,False,True,True,False
2070-FNEXE,7,Yes,No,Yes,20,Yes,No,No,No,No,No,No,No,No,79.50800000000001,503.6,11.05,101.0,188.65,77,No,Yes,No,Yes,2,91107,32369,1,3,0,True,False,False,True,False,False,True,False
0094-OIFMO,11,Yes,No,Yes,32,No,Yes,No,No,Yes,Yes,No,No,Yes,98.8,1120.3,0.0,358.0,127.49,78,No,Yes,No,Yes,1,91605,57146,1,2,2,True,False,False,True,False,False,True,False
9947-OTFQU,15,Yes,No,Yes,32,No,Yes,No,No,No,No,No,No,Yes,77.376,1074.3,0.0,344.0,436.65,65,No,Yes,No,No,0,91722,33817,1,0,0,True,False,False,True,False,False,False,True
9514-JDSKI,1,No,No,Yes,13,No,Yes,No,No,Yes,No,No,Yes,No,41.80800000000001,40.2,0.0,0.0,0.0,77,No,Yes,Yes,No,0,91732,62660,1,2,0,True,False,False,True,False,False,False,True
7273-TEFQD,3,No,No,Yes,31,No,No,Yes,No,No,Yes,Yes,No,Yes,42.796,132.2,0.0,41.0,0.0,67,No,Yes,No,No,0,91746,30802,1,7,1,True,False,False,True,False,False,False,True
3606-TWKGI,13,Yes,Yes,Yes,12,No,Yes,Yes,No,Yes,Yes,No,No,Yes,111.17600000000002,1364.3,0.0,164.0,424.84,68,No,Yes,No,No,0,91748,46342,1,1,2,True,False,False,True,False,False,False,True
4385-GZQXV,16,Yes,No,Yes,10,No,No,No,Yes,Yes,Yes,Yes,No,Yes,98.228,1511.2,0.0,151.0,150.88,68,No,Yes,No,No,0,91764,49474,1,0,0,True,False,False,True,False,False,True,False
3488-PGMQJ,8,Yes,No,Yes,8,No,Yes,No,No,No,No,No,Yes,Yes,77.48,606.55,0.0,0.0,14.24,66,No,Yes,No,No,0,91901,16486,1,5,2,True,False,False,True,False,False,False,True
7534-BFESC,24,Yes,Yes,Yes,16,No,No,No,No,No,No,No,Yes,Yes,79.14399999999999,1712.7,0.0,0.0,740.88,69,No,Yes,No,No,0,92122,34902,1,0,0,True,False,False,True,False,False,False,True
8098-LLAZX,4,Yes,Yes,Yes,2,No,No,No,No,Yes,Yes,No,No,Yes,99.268,396.1,0.0,8.0,126.44,74,No,Yes,No,No,0,92122,34902,1,4,0,True,False,False,True,False,False,True,False
0265-EDXBD,32,Yes,Yes,Yes,11,No,No,No,No,No,No,No,No,Yes,77.89600000000002,2303.35,0.0,253.0,1514.88,76,No,Yes,Yes,No,0,92122,34902,1,4,0,True,False,False,True,False,False,False,True
2840-XANRC,24,Yes,No,Yes,13,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,96.876,2231.05,0.0,0.0,386.4,77,No,Yes,Yes,No,0,92122,34902,1,1,0,True,False,False,True,False,False,False,True
5020-ZSTTY,54,Yes,Yes,Yes,6,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,85.748,4350.1,0.0,0.0,652.32,70,No,Yes,No,No,0,92122,34902,1,3,0,False,True,False,True,False,False,True,False
